Animal,Corte,Grupo,Region,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
CS4,4,CS,CA1,1278,26.728,67.519,26.728,67.519,305.463,75.632,21.515,92.554,0.172,3.515,0.284,0.532
CS4,4,CS,CA1,992,39.658,32.726,39.658,32.726,343.345,49.092,25.728,25.912,0.106,1.908,0.524,0.405
CS4,4,CS,CA1,577,26.822,29.971,26.822,29.971,189.865,38.273,19.195,105.774,0.201,1.994,0.502,0.576
CS4,4,CS,CA1,980,22.36,37.596,22.36,37.596,169.48,56.707,22.004,109.082,0.429,2.577,0.388,0.79
CS4,4,CS,CA1,1159,25.53,48.924,25.53,48.924,275.605,65.37,22.574,86.816,0.192,2.896,0.345,0.614
CS4,4,CS,CA1,1250,25.438,50.875,25.438,50.875,332.576,76.06,20.925,97.995,0.142,3.635,0.275,0.437
CS4,1,CS,CA3,834,41.174,29.548,41.174,29.548,157.924,47.353,22.425,124.728,0.42,2.112,0.474,0.723
CS4,1,CS,CA3,1573,36.66,40.527,36.66,40.527,322.132,56.251,35.605,81.658,0.19,1.58,0.633,0.586
CS4,1,CS,CA3,1633,35.239,47.869,35.239,47.869,363.789,64.419,32.276,73.347,0.155,1.996,0.501,0.549
CS4,1,CS,CA3,1327,30.798,38.071,30.798,38.071,201.279,52.794,32.004,41.903,0.412,1.65,0.606,0.713
CS4,1,CS,CA3,2929,47.79,76.549,47.79,76.549,873.97,68.417,54.508,62.942,0.048,1.255,0.797,0.357
CS4,1,CS,CA3,1468,53.864,28.753,53.864,28.753,220.593,51.898,36.015,154.153,0.379,1.441,0.694,0.721
CS4,1,CS,CA3,869,46.277,27.767,46.277,27.767,220.007,51.695,21.403,12.615,0.226,2.415,0.414,0.527
CS4,1,CS,CA3,532,23.727,24.594,23.727,24.594,99.983,27.056,25.036,84.041,0.669,1.081,0.925,0.844
CS4,1,CS,CA3,806,35.305,38.52,35.305,38.52,192.066,47.235,21.726,39.682,0.275,2.174,0.46,0.654
CS4,1,CS,CA3,2241,46.599,56.368,46.599,56.368,636.767,57.707,49.445,81.521,0.069,1.167,0.857,0.51
CS4,1,CS,CA3,1284,40.335,59.516,40.335,59.516,344.475,52.834,30.943,106.981,0.136,1.707,0.586,0.482
CS4,1,CS,CA3,1238,28.159,31.236,28.159,31.236,184.794,46.473,33.918,137.822,0.456,1.37,0.73,0.791
CS4,1,CS,CA3,2611,92.319,61.288,92.319,61.288,909.97,97.076,34.246,44.19,0.04,2.835,0.353,0.354
CS4,1,CS,CA3,1409,47.648,56.117,47.648,56.117,495.026,48.526,36.97,106.504,0.072,1.313,0.762,0.371
CS4,1,CS,CA3,705,42.706,42.316,42.706,42.316,240.836,42,21.372,10.199,0.153,1.965,0.509,0.475
CS4,2,CS,CA3,1130,46.796,42.547,46.796,42.547,253.706,49.479,29.078,122.699,0.221,1.702,0.588,0.631
